archetype,read_month,read_type_of_day,read_hh,n_puprn,elec_imp_mean,elec_imp_50th,elec_imp_75th,elec_imp_25th,elec_imp_90th,elec_imp_10th
D,dec,weekday,18,80,5.99E-05,5.02E-05,7.01E-05,3.74E-05,0.000108703,3.31E-05
D,dec,weekday,19,80,6.26E-05,5.60E-05,7.44E-05,4.22E-05,9.02E-05,3.17E-05
D,dec,weekday,20,80,6.19E-05,5.35E-05,7.58E-05,4.06E-05,8.79E-05,3.48E-05
D,dec,weekday,21,80,5.87E-05,5.25E-05,6.72E-05,4.46E-05,8.88E-05,3.64E-05
D,dec,weekday,22,80,6.26E-05,6.00E-05,7.27E-05,4.32E-05,8.76E-05,3.75E-05
D,dec,weekday,23,80,6.59E-05,5.71E-05,7.64E-05,4.81E-05,8.88E-05,3.55E-05
D,dec,weekday,24,80,6.98E-05,6.07E-05,7.79E-05,5.05E-05,0.000100827,3.76E-05
D,dec,weekday,25,80,6.94E-05,6.24E-05,7.89E-05,5.09E-05,9.55E-05,4.09E-05
D,dec,weekday,26,80,6.47E-05,6.07E-05,7.44E-05,4.92E-05,8.66E-05,4.01E-05
D,dec,weekday,27,80,6.75E-05,6.24E-05,7.57E-05,5.17E-05,8.29E-05,4.55E-05
D,dec,weekday,28,80,6.93E-05,6.30E-05,8.16E-05,5.07E-05,9.79E-05,4.37E-05
D,dec,weekday,29,80,6.79E-05,6.24E-05,7.75E-05,4.74E-05,0.000101065,3.81E-05
D,dec,weekday,30,80,6.83E-05,5.99E-05,7.78E-05,4.84E-05,9.99E-05,4.12E-05
D,dec,weekday,31,80,6.98E-05,6.06E-05,8.16E-05,5.17E-05,0.000102007,4.36E-05
D,dec,weekday,32,80,7.36E-05,6.51E-05,8.43E-05,5.06E-05,0.000123714,4.54E-05
D,dec,weekday,33,80,8.31E-05,7.13E-05,9.79E-05,5.90E-05,0.00013505,4.73E-05
D,dec,weekday,34,80,9.33E-05,7.54E-05,0.00012297,5.69E-05,0.000154688,4.47E-05
D,dec,weekday,35,80,0.000100091,8.92E-05,0.00012385,5.93E-05,0.000156102,5.08E-05
D,dec,weekday,36,80,9.34E-05,8.20E-05,0.000117307,6.28E-05,0.00013794,5.23E-05
D,dec,weekday,37,80,9.16E-05,8.52E-05,0.000108935,6.72E-05,0.000132075,5.58E-05
D,dec,weekday,38,80,9.16E-05,8.54E-05,0.000107125,6.40E-05,0.000135298,5.32E-05
D,dec,weekday,39,80,9.02E-05,8.21E-05,0.000100281,6.24E-05,0.00013351,5.30E-05
D,dec,weekday,40,80,9.38E-05,8.28E-05,0.000113297,6.10E-05,0.00014425,5.34E-05
D,dec,weekday,41,80,8.78E-05,7.46E-05,0.000103649,6.22E-05,0.000135093,5.01E-05
D,dec,weekday,42,80,8.20E-05,7.40E-05,9.12E-05,6.33E-05,0.000128549,4.78E-05
D,dec,weekday,43,80,7.50E-05,6.80E-05,8.22E-05,5.40E-05,9.86E-05,4.67E-05
D,dec,weekday,44,80,6.91E-05,6.47E-05,7.70E-05,5.29E-05,0.000103808,4.40E-05
D,dec,weekday,45,80,6.82E-05,6.38E-05,8.54E-05,5.07E-05,9.90E-05,4.23E-05
D,dec,weekday,46,80,6.29E-05,5.69E-05,7.31E-05,4.39E-05,8.91E-05,3.27E-05
D,dec,weekday,47,80,5.46E-05,4.95E-05,6.54E-05,3.18E-05,7.63E-05,2.59E-05
D,dec,weekday,48,80,4.95E-05,4.41E-05,6.48E-05,3.06E-05,7.21E-05,2.01E-05
D,dec,weekend,1,80,4.52E-05,3.66E-05,5.49E-05,2.74E-05,7.47E-05,1.66E-05
D,dec,weekend,2,80,4.46E-05,3.49E-05,5.25E-05,2.67E-05,7.43E-05,1.73E-05
D,dec,weekend,3,80,4.04E-05,3.31E-05,4.90E-05,2.46E-05,6.50E-05,1.75E-05
D,dec,weekend,4,80,3.80E-05,3.22E-05,4.52E-05,2.40E-05,6.05E-05,1.37E-05
D,dec,weekend,5,80,3.61E-05,2.87E-05,4.67E-05,2.19E-05,5.26E-05,1.53E-05
D,dec,weekend,6,80,3.41E-05,2.96E-05,3.85E-05,2.38E-05,4.89E-05,1.50E-05
D,dec,weekend,7,80,3.33E-05,2.86E-05,4.21E-05,2.12E-05,5.21E-05,1.53E-05
D,dec,weekend,8,80,3.29E-05,2.92E-05,3.82E-05,2.33E-05,4.76E-05,1.38E-05
D,dec,weekend,9,80,3.23E-05,2.90E-05,3.75E-05,2.18E-05,4.65E-05,1.52E-05
D,dec,weekend,10,80,3.21E-05,2.82E-05,3.76E-05,2.15E-05,4.69E-05,1.34E-05
