archetype,n_puprn,month,elec_imp_total_kwh_mean,elec_imp_total_kwh_50th,elec_imp_total_kwh_75th,elec_imp_total_kwh_25th,elec_imp_total_kwh_90th,elec_imp_total_kwh_10th,elec_imp_hh_peak_wh_mean,elec_imp_hh_peak_wh_50th,elec_imp_hh_peak_wh_75th,elec_imp_hh_peak_wh_25th,elec_imp_hh_peak_wh_90th,elec_imp_hh_peak_wh_10th,elec_imp_hh_min_wh_mean,elec_imp_hh_min_wh_50th,elec_imp_hh_min_wh_75th,elec_imp_hh_min_wh_25th,elec_imp_hh_min_wh_90th,elec_imp_hh_min_wh_10th
ER,164,nov,505.0817073,412.6443,664.9417,250.5208,994.9108,161.1638,2723.579268,2553.1,3315.9,1938.2,4597.1,1239.3,26.87804878,13.9,26.4,7.6,50.9,2.5
ER,164,dec,622.414811,544.5652,823.1319,298.159,1295.4402,162.3516,2890.865854,2598.8,3510.9,1950,4875.3,1197.2,35.23170732,14.8,31,7.7,55.8,2.9
ER,164,jan,676.031378,558.3491,956.5845,295.2609,1349.8576,185.6694,2848.865854,2691.7,3427.3,2047,4537.5,1292.2,37.73780488,16.6,33.3,7.8,62.2,3.2
ER,164,feb,534.2527805,461.3207,708.4087,236.797,1010.4048,129.622,2723.52439,2574.6,3219.6,1805.6,4238.5,1164.7,37.86585366,16.4,34.6,9.2,84.8,3
ER,164,mar,484.7325488,401.4238,659.4355,226.6688,945.6245,133.6024,2603.152439,2388.6,3190,1631.1,4058.3,1139.1,22.54268293,15.2,26.9,7,53.3,0
ER,164,apr,363.8623841,324.0493,481.4097,193.8737,660.9984,116.6803,2456.091463,2310.9,2962.7,1608.6,3928.6,1050.4,20.79878049,14.5,25,7,45.1,2.9
ER,164,may,266.2983537,235.6619,336.0345,151.7085,418.4984,99.4591,2059.70122,1949.9,2555.9,1434,3195.1,978.3,20.24390244,13.8,26.5,7.9,35.2,3.2
ER,164,jun,223.0979634,187.6598,286.9136,132.334,349.2253,89.4469,1899.329268,1741,2292.2,1307.6,2920.2,922.7,19.98170732,11.9,22.7,6.9,43.6,1.9
ES,130,jul,252.7608538,225.9574,318.7636,155.9606,394.0727,113.6698,1851.938462,1671.4,2259.6,1510,2944.8,908.9,20.93076923,15.2,23.5,7,36,0.3
ES,130,aug,251.149,218.7207,302.6177,152.2872,405.3885,94.7448,1926.369231,1705.5,2449.2,1528.8,2967.4,1057,21.71538462,14.8,28.3,8.3,42,3.1
ES,130,sep,264.2058154,224.7585,311.6869,148.6884,436.9988,110.9345,2071.984615,1833.7,2617.2,1543,3138.2,1069.8,23.33846154,15.2,27.1,6.7,59.2,2.4
ES,130,oct,406.2007615,329.0138,498.559,217.0802,790.5696,129.7729,2618.684615,2402.8,3385.5,1732.4,4475.5,1410.9,23.2,15,25.3,6.7,54.4,3.5
ES,130,nov,603.2301231,529.1276,827.7048,318.0944,1229.7406,162.303,3212.192308,2926.8,4102.6,2214.9,5371.2,1186,26.31538462,14.8,27.3,8,47.4,3.1
ES,130,dec,730.3591077,644.655,969.7659,323.6226,1464.4855,192.7725,3350.107692,3057.8,4461.1,2059.6,5481,1629.2,30.34615385,16.7,29.2,7.6,58.9,4.2
ES,130,jan,779.6168538,653.2273,1026.1412,414.2437,1462.5651,200.2703,3356.115385,3043.2,4346.1,2160,5554.8,1613.4,28.86153846,16,30.1,9.2,63.7,1.5
ES,130,feb,648.0734615,570.4336,904.545,287.2109,1200.2046,147.9631,3195.138462,2961.4,4332.1,2075.1,5396.8,1451.5,31.15384615,15.9,31.7,9.1,64.1,2.2
ES,130,mar,587.6408462,513.9911,798.6364,287.7157,1153.6389,132.5618,3051.638462,2688.4,4165.3,1930.9,5269.7,1474.4,26.16923077,14.6,29.5,7,55,2.4
ES,130,apr,429.0203308,364.9557,564.7679,217.3971,766.1023,112.9703,2854.084615,2660.1,3718.1,1826.9,4488,1111.9,19.7,13,23,7,55.4,3
ES,130,may,280.8725692,232.1163,327.8086,166.5017,542.199,97.0406,2236.223077,2000.1,2718.1,1656.9,3578.4,915.5,24.59230769,14,25.9,7.1,52.2,2.4
ES,130,jun,239.4968462,208.7304,266.8226,136.5515,399.6819,84.4353,1946.953846,1811.7,2222.1,1528.4,2976.3,1025.6,23.08461538,14.8,24.7,6.9,41.6,3.2
G10,583,jul,141.8967427,125.9158,175.5467,95.8974,227.6668,71.1237,1226.116638,1078.7,1478.3,840.6,2075.5,639.7,22.2109777,17,28.1,10,45.1,4
G10,583,aug,141.1550875,124.2256,170.5117,95.6959,224.0772,69.0162,1266.259005,1105.6,1516.5,843.3,2171.7,643.6,22.45797599,17,28.1,10,44.9,5
G10,583,sep,137.4557959,125.7036,169.3129,91.846,217.0794,69.4616,1270.883362,1142.6,1513,872,2068.2,663,21.74785592,16,27,10,44.1,5
G10,583,oct,154.7322573,136.2151,188.126,103.8936,240.1511,78.0724,1361.174957,1196,1648.1,921.6,2216.9,726.8,21.60377358,16,27.1,10,43,5
G10,583,nov,161.7251063,139.5096,198.8654,106.647,256.0257,81.5877,1432.524871,1225.4,1695.3,942.8,2411.9,736.2,22.87478559,17,28.2,10,45,5
G10,583,dec,176.5349537,152.8626,218.0535,113.7865,278.1453,83.33,1474.439108,1315.4,1745.1,1007.5,2463.7,762.4,22.47169811,17,27.4,10,43.8,5
G22,529,jan,463.025586,397.9718,536.6495,301.6427,745.0591,239.693,2419.398866,2145.2,2858.4,1732.6,3669.6,1443.8,47.98487713,35,58,21.1,87.5,13.1
G10,583,feb,150.2284117,133.9608,183.8429,98.4048,241.6039,74.4171,1430.334477,1250,1724.6,948.9,2384.5,763.4,21.31217839,16,26.5,10,43.3,4
G10,583,mar,152.6199571,134.7602,189.3029,98.6606,243.5604,72.8667,1392.308748,1205.9,1669.4,926.2,2337.4,728.5,20.44768439,16,26,10,42,5
G10,583,apr,135.7492196,121.1661,168.3343,91.2333,218.8263,67.3617,1346.560892,1173.1,1635.9,928,2169.4,698.1,20.19554031,15,25,10,41.4,5
G10,583,may,131.2214099,118.0141,163.2916,88.6589,207.8016,63.613,1280.502573,1143.3,1585.2,855.9,2084.6,657.1,20.25557461,16,25.9,9,43,4
G10,583,jun,123.6262779,112.7119,151.5745,83.9128,195.4627,61.8659,1201.679245,1042.2,1455.2,804.7,2015.4,614.6,20.11663808,16,25.8,10,41.2,5
G10p,699,jul,150.3012318,134.5749,174.4312,102.1323,232.1719,77.2581,1130.974249,1007.5,1342.4,791.8,1785.2,608.9,26.00286123,19,31.9,12,53,6
G10p,699,aug,150.8066581,133.6915,177.6233,102.6228,229.5984,77.882,1155.005722,1045.9,1364.3,805,1797.6,629.1,25.72246066,19,32,12,52.8,6
G10p,699,sep,147.2696381,131.0766,171.3292,100.0497,221.993,78.1408,1131.738197,1054.5,1369,817.6,1684.6,611.2,25.19456366,19,32,12,51.4,6
G10p,699,oct,168.5760572,147.2605,197.781,114.2313,270.3136,84.3929,1239.600858,1148.9,1496.3,877.8,1910.1,648.9,25.09155937,19,31.2,11,52.8,6
G10p,699,nov,182.8673262,157.5085,206.5622,120.4523,283.7299,91.2065,1291.456366,1190.4,1524,918.3,1972.4,703.6,24.96995708,18,31,11,50.6,7
G10p,699,dec,205.9606123,172.3936,230.5775,130.609,326.2415,94.3306,1386.490701,1270,1697.2,946.9,2213.8,708.3,25.89985694,18,31,11,51.1,6
G21,434,jan,408.5871659,341.9546,486.1509,260.1245,647.5762,194.1864,2196.993088,2009.9,2541.7,1546.4,3400.2,1277.2,42.7235023,32.7,52.8,19,77.1,11
G10p,699,feb,171.403402,145.5002,189.7604,111.626,272.6288,83.807,1287.194564,1156.5,1559.4,919.6,2018.4,687.3,25.31044349,19,31,11,50.3,5
