"archetype","read_month","read_type_of_day","read_hh","n_puprn","elec_imp_mean","elec_imp_50th","elec_imp_75th","elec_imp_25th","elec_imp_90th","elec_imp_10th","month","n_days","mean.year","p50th.year","p10th.year","p25th.year","p75th.year","p90th.year","kwh.mean","kwh.50th","kwh.10th","kwh.25th","kwh.75th","kwh.90th","persona"
"D","apr","weekend",14,80,"0.0000383","0.0000322","0.0000435","0.0000246","0.0000645","0.0000196",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.082088411065,0.06901427771,0.04200869078,0.05272519353,0.093233573925,0.138242885475,"P1"
"D","apr","weekend",15,80,"0.0000428","0.0000376","0.0000504","0.0000287","0.0000774","0.0000223",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.09173326354,0.08058810068,0.047795602265,0.061512725785,0.10802234772,0.16589146257,"P1"
"D","apr","weekend",16,80,"0.0000473","0.0000361","0.0000554","0.0000277","0.0000801","0.0000165",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.101378116015,0.077373149855,0.035364459075,0.059369425235,0.11873885047,0.171678374055,"P1"
"D","apr","weekend",17,80,"0.0000485","0.000042","0.0000589","0.0000318","0.0000924","0.0000247",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.103950076675,0.0900186231,0.052939523585,0.06815695749,0.126240402395,0.19804097082,"P1"
"D","apr","weekend",18,80,"0.0000539","0.0000448","0.0000722","0.0000323","0.0000825","0.0000248",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.115523899645,0.09601986464,0.05315385364,0.069228607765,0.15474629971,0.176822295375,"P1"
"D","apr","weekend",19,80,"0.0000542","0.0000481","0.0000653","0.0000361","0.0000814","0.0000277",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.11616688981,0.103092756455,0.059369425235,0.077373149855,0.139957525915,0.17446466477,"P1"
"D","apr","weekend",20,80,"0.0000662","0.0000593","0.0000788","0.000039","0.0000984","0.0000342",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.14188649641,0.127097722615,0.07330087881,0.08358872145,0.16889208334,0.21090077412,"P1"
"D","apr","weekend",21,80,"0.0000661","0.000055","0.0000836","0.0000411","0.000113539","0.0000302",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.141672166355,0.11788153025,0.06472767661,0.088089652605,0.17917992598,0.24334820114645,"P1"
"D","apr","weekend",22,80,"0.0000647","0.0000582","0.0000669","0.0000429","0.0000919","0.0000314",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.138671545585,0.12474009201,0.06729963727,0.091947593595,0.143386806795,0.196969320545,"P1"
"D","apr","weekend",23,80,"0.0000684","0.0000548","0.0000768","0.0000469","0.0000975","0.0000343",4,8.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.14660175762,0.11745287014,0.073515208865,0.100520795795,0.16460548224,0.208971803625,"P1"
