"","archetype","window","month","weekend","ex.kwh.mean","ex.kwh.50th","ex.kwh.10th","ex.kwh.25th","ex.kwh.75th","ex.kwh.90th","im.kwh.mean","im.kwh.50th","im.kwh.10th","im.kwh.25th","im.kwh.75th","im.kwh.90th","mean.Q_heat_elec_in","p10.Q_heat_elec_in","p25.Q_heat_elec_in","p50.Q_heat_elec_in","p75.Q_heat_elec_in","p90.Q_heat_elec_in"
"76","ES",13.5,4,1,NA,NA,NA,NA,NA,NA,0.19208919257892,0.14721365471148,0.05363174037816,0.08373118650876,0.24736272092784,0.35790977762568,NA,NA,NA,NA,NA,NA
"77","ES",14,4,1,NA,NA,NA,NA,NA,NA,0.22328316402336,0.14994996799608,0.046736230900968,0.08975107573488,0.22492495199412,0.41482509394536,NA,NA,NA,NA,NA,NA
"78","ES",14.5,4,1,NA,NA,NA,NA,NA,NA,0.21288517354188,0.16089522113448,0.04213922458284,0.08646749979336,0.25228808484012,0.36557145482256,NA,NA,NA,NA,NA,NA
"79","ES",15,4,1,NA,NA,NA,NA,NA,NA,0.20577075900192,0.15542259456528,0.03940291129824,0.08263666119492,0.28840742019684,0.3639296668518,NA,NA,NA,NA,NA,NA
"80","ES",15.5,4,1,NA,NA,NA,NA,NA,NA,0.19756181914812,0.13900471485768,0.045094442930208,0.08099487322416,0.21288517354188,0.37542218264712,NA,NA,NA,NA,NA,NA
"81","ES",16,4,1,NA,NA,NA,NA,NA,NA,0.19592003117736,0.14830818002532,0.052318310001552,0.08701476245028,0.2435318823294,0.38089480921632,NA,NA,NA,NA,NA,NA
"82","ES",16.5,4,1,NA,NA,NA,NA,NA,NA,0.22218863870952,0.14885544268224,0.052427762532936,0.09139286370564,0.27965121768612,0.38363112250092,NA,NA,NA,NA,NA,NA
"83","ES",17,4,1,NA,NA,NA,NA,NA,NA,0.23641746778944,0.17184047427288,0.038636743578552,0.08701476245028,0.28129300565688,0.4980090177972,NA,NA,NA,NA,NA,NA
"84","ES",17.5,4,1,NA,NA,NA,NA,NA,NA,0.25009903421244,0.18442751538204,0.049363091654184,0.09467643964716,0.31905412898436,0.46024789446972,NA,NA,NA,NA,NA,NA
"85","ES",18,4,1,NA,NA,NA,NA,NA,NA,0.2845765815984,0.21945232542492,0.05691531631968,0.1067162180994,0.35353167637032,0.52154131204476,NA,NA,NA,NA,NA,NA
"86","ES",18.5,4,1,NA,NA,NA,NA,NA,NA,0.2791039550292,0.19044740460816,0.06950235742884,0.09960180355944,0.37159134404868,0.568999929652862,NA,NA,NA,NA,NA,NA
"87","ES",19,4,1,NA,NA,NA,NA,NA,NA,0.27527311643076,0.18661656600972,0.043562107490832,0.0985072782456,0.34258642323192,0.51825773610324,NA,NA,NA,NA,NA,NA
"88","ES",19.5,4,1,NA,NA,NA,NA,NA,NA,0.26651691392004,0.19646729383428,0.0492536391228,0.10452716747172,0.34970083777188,0.53248656518316,NA,NA,NA,NA,NA,NA
"89","ES",20,4,1,NA,NA,NA,NA,NA,NA,0.25611892343856,0.21562148682648,0.053412835315392,0.11711420858088,0.35243715105648,0.50731248296484,NA,NA,NA,NA,NA,NA
"90","ES",20.5,4,1,NA,NA,NA,NA,NA,NA,0.23149210387716,0.19373098054968,0.053412835315392,0.10343264215788,0.33328295806428,0.41044699269,NA,NA,NA,NA,NA,NA
"91","ES",21,4,1,NA,NA,NA,NA,NA,NA,0.2517408221832,0.19208919257892,0.050785974562176,0.11109431935476,0.31248697710132,0.46736230900968,NA,NA,NA,NA,NA,NA
"92","ES",21.5,4,1,NA,NA,NA,NA,NA,NA,0.23313389184792,0.17895488881284,0.049472544185568,0.09194012636256,0.30537256256136,0.40442710346388,NA,NA,NA,NA,NA,NA
"93","ES",22,4,1,NA,NA,NA,NA,NA,NA,0.2106961229142,0.14721365471148,0.048761102731572,0.08263666119492,0.28512384425532,0.39348185032548,NA,NA,NA,NA,NA,NA
"94","ES",22.5,4,1,NA,NA,NA,NA,NA,NA,0.18278572741128,0.12805946171928,0.036885503076408,0.08154213588108,0.23751199310328,0.39238732501164,NA,NA,NA,NA,NA,NA
"95","ES",23,4,1,NA,NA,NA,NA,NA,NA,0.16089522113448,0.11437789529628,0.0355720726998,0.05855710429044,0.21288517354188,0.36338240419488,NA,NA,NA,NA,NA,NA
"96","ES",23.5,4,1,NA,NA,NA,NA,NA,NA,0.21945232542492,0.1203977845224,0.027472585377384,0.051935226141708,0.22820852793564,0.554809408958927,NA,NA,NA,NA,NA,NA
"97","ES",0,8,0,NA,NA,NA,NA,NA,NA,0.13845745220076,0.09194012636256,0.029114373348144,0.049363091654184,0.14119376548536,0.28840742019684,NA,NA,NA,NA,NA,NA
"98","ES",0.5,8,0,NA,NA,NA,NA,NA,NA,0.21124338557112,0.09905454090252,0.035243715105648,0.047392946089272,0.17731310084208,0.46134241978356,NA,NA,NA,NA,NA,NA
"99","ES",1,8,0,NA,NA,NA,NA,NA,NA,0.21014886025728,0.0875620251072,0.03393028472904,0.048651650200188,0.18278572741128,0.46407873306816,NA,NA,NA,NA,NA,NA
"100","ES",1.5,8,0,NA,NA,NA,NA,NA,NA,0.34860631245804,0.123134097807,0.037870575858864,0.06512425617348,0.28402931894148,1.18757091076954,NA,NA,NA,NA,NA,NA
"101","ES",2,8,0,NA,NA,NA,NA,NA,NA,0.26159155000776,0.10890526872708,0.036009882825336,0.06676604414424,0.24572093295708,0.53029751455548,NA,NA,NA,NA,NA,NA
"102","ES",2.5,8,0,NA,NA,NA,NA,NA,NA,0.19920360711888,0.09631822761792,0.037323313201944,0.0574625789766,0.20686528431576,0.38527291047168,NA,NA,NA,NA,NA,NA
"103","ES",3,8,0,NA,NA,NA,NA,NA,NA,0.17019868630212,0.10507443012864,0.034039737260424,0.0574625789766,0.18497477803896,0.3201486542982,NA,NA,NA,NA,NA,NA
"104","ES",3.5,8,0,NA,NA,NA,NA,NA,NA,0.19318371789276,0.11930325920856,0.035900430293952,0.06676604414424,0.20084539508964,0.45313347992976,NA,NA,NA,NA,NA,NA
"105","ES",4,8,0,NA,NA,NA,NA,NA,NA,0.17676583818516,0.1203977845224,0.041810866988688,0.06402973085964,0.17840762615592,0.30810887584596,NA,NA,NA,NA,NA,NA
