"month","date.time","weekend","hh","price","agile_stchg"
1,"2024-01-08 21:00:00+00:00",0,21,20.895,65.12
1,"2024-01-08 21:30:00+00:00",0,21.5,18.858,65.12
1,"2024-01-08 22:00:00+00:00",0,22,19.0785,65.12
1,"2024-01-08 22:30:00+00:00",0,22.5,17.871,65.12
1,"2024-01-08 23:00:00+00:00",0,23,16.9785,65.12
1,"2024-01-08 23:30:00+00:00",0,23.5,16.6635,65.12
1,"2024-01-09 00:00:00+00:00",0,0,16.6635,65.12
1,"2024-01-09 00:30:00+00:00",0,0.5,17.4405,65.12
1,"2024-01-09 01:00:00+00:00",0,1,17.4825,65.12
1,"2024-01-09 01:30:00+00:00",0,1.5,16.6635,65.12
1,"2024-01-09 02:00:00+00:00",0,2,17.2935,65.12
1,"2024-01-09 02:30:00+00:00",0,2.5,16.6635,65.12
1,"2024-01-09 03:00:00+00:00",0,3,16.9575,65.12
1,"2024-01-09 03:30:00+00:00",0,3.5,16.317,65.12
1,"2024-01-09 04:00:00+00:00",0,4,17.8185,65.12
1,"2024-01-09 04:30:00+00:00",0,4.5,16.8315,65.12
1,"2024-01-09 05:00:00+00:00",0,5,17.1465,65.12
1,"2024-01-09 05:30:00+00:00",0,5.5,16.6635,65.12
1,"2024-01-09 06:00:00+00:00",0,6,16.6635,65.12
1,"2024-01-09 06:30:00+00:00",0,6.5,18.354,65.12
1,"2024-01-09 07:00:00+00:00",0,7,20.769,65.12
1,"2024-01-09 07:30:00+00:00",0,7.5,25.3575,65.12
1,"2024-01-09 08:00:00+00:00",0,8,23.1735,65.12
1,"2024-01-09 08:30:00+00:00",0,8.5,25.3575,65.12
1,"2024-01-09 09:00:00+00:00",0,9,21.903,65.12
1,"2024-01-09 09:30:00+00:00",0,9.5,21.756,65.12
1,"2024-01-09 10:00:00+00:00",0,10,21.4935,65.12
1,"2024-01-09 10:30:00+00:00",0,10.5,21.0105,65.12
1,"2024-01-09 11:00:00+00:00",0,11,20.265,65.12
1,"2024-01-09 11:30:00+00:00",0,11.5,20.643,65.12
1,"2024-01-09 12:00:00+00:00",0,12,20.139,65.12
1,"2024-01-09 12:30:00+00:00",0,12.5,20.139,65.12
1,"2024-01-09 13:00:00+00:00",0,13,21.3045,65.12
1,"2024-01-09 13:30:00+00:00",0,13.5,19.7295,65.12
1,"2024-01-09 14:00:00+00:00",0,14,22.407,65.12
1,"2024-01-09 14:30:00+00:00",0,14.5,22.197,65.12
1,"2024-01-09 15:00:00+00:00",0,15,21.0105,65.12
