"win.start","month","window","weekend","flex.oct_unit","flex.oct_stand","agile.in_unit","agile.in_stand","flux.import_unit","flux.import_stand","intel.flux.import_unit","intel.flux.import_stand","cosy_unit","cosy_stand","go_unit","go_stand","PAYG_unit","PAYG_stand","flex.PAYG_unit","flex.PAYG_stand","SEG_unit","agile.out_unit","flux.out_unit","intel.flux.out_unit","snug_unit","snug_stand","intelligent_go_unit","intelligent_go_stand","oev_intelligent_go_unit","oev_intelligent_go_stand","oct.fix.jan24_unit","oct.fix.jan24_stand","oct.e7.fix.jan24_unit","oct.e7.fix.jan24_stand","oct.e7.fix.nov24_unit","oct.e7.fix.nov24_stand","oct.fix.oct24_unit","oct.fix.oct24_stand","oct.fix.jul24_unit","oct.fix.jul24_stand"
2024-01-01 18:00:00,1,18,0,"29.16585","56.62650","32.8020","50.9985","39.79437","56.6265","34.10946","56.6265","45.47928","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1,"16.15","28.7944","34.1095",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 18:30:00,1,18.5,0,"29.16585","56.62650","26.3760","50.9985","39.79437","56.6265","34.10946","56.6265","45.47928","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1,"13.68","28.7944","34.1095",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 19:00:00,1,19,0,"29.16585","56.62650","17.3880","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.53","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 19:30:00,1,19.5,0,"29.16585","56.62650","11.3715","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.21","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 20:00:00,1,20,0,"29.16585","56.62650","12.5580","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.67","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 20:30:00,1,20.5,0,"29.16585","56.62650","14.4900","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 6.41","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 21:00:00,1,21,0,"29.16585","56.62650","17.3880","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.53","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 21:30:00,1,21.5,0,"29.16585","56.62650","11.0565","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.09","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 22:00:00,1,22,0,"29.16585","56.62650","12.3690","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.59","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 22:30:00,1,22.5,0,"29.16585","56.62650"," 2.3205","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 1.72","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 23:00:00,1,23,0,"29.16585","56.62650"," 3.4755","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 2.17","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 23:30:00,1,23.5,0,"29.16585","56.62650"," 1.6905","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 1.48","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02,1,0,0,"29.16585","56.62650","-2.2260","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 0.00","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 00:30:00,1,0.5,0,"29.16585","56.62650"," 4.7355","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265"," 8.99997","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 2.65","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 01:00:00,1,1,0,"29.16585","56.62650"," 1.6905","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265"," 8.99997","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 1.48","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 01:30:00,1,1.5,0,"29.16585","56.62650","-1.6695","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265"," 8.99997","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 0.19","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 02:00:00,1,2,0,"29.16585","56.62650"," 2.7510","50.9985","17.05473","56.6265","25.58209","56.6265","28.42455","56.6265"," 8.99997","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 1.89"," 6.0547","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 02:30:00,1,2.5,0,"29.16585","56.62650"," 0.9660","50.9985","17.05473","56.6265","25.58209","56.6265","28.42455","56.6265"," 8.99997","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 1.20"," 6.0547","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 03:00:00,1,3,0,"29.16585","56.62650"," 2.9190","50.9985","17.05473","56.6265","25.58209","56.6265","28.42455","56.6265"," 8.99997","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 1.96"," 6.0547","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 03:30:00,1,3.5,0,"29.16585","56.62650","-0.6090","50.9985","17.05473","56.6265","25.58209","56.6265","28.42455","56.6265"," 8.99997","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 0.60"," 6.0547","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 04:00:00,1,4,0,"29.16585","56.62650"," 3.6225","50.9985","17.05473","56.6265","25.58209","56.6265","17.05473","56.6265"," 8.99997","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 2.22"," 6.0547","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 04:30:00,1,4.5,0,"29.16585","56.62650"," 4.5885","50.9985","17.05473","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 2.60"," 6.0547","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 05:00:00,1,5,0,"29.16585","56.62650"," 1.2075","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 1.30","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 05:30:00,1,5.5,0,"29.16585","56.62650"," 6.7620","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 3.43","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 06:00:00,1,6,0,"29.16585","56.62650"," 8.4525","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 4.08","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 06:30:00,1,6.5,0,"29.16585","56.62650","15.2145","50.9985","28.42455","56.6265","25.58209","56.6265","17.05473","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 6.69","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,13.84,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 07:00:00,1,7,0,"29.16585","56.62650","13.2825","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.94","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 07:30:00,1,7.5,0,"29.16585","56.62650","17.7765","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.67","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 08:00:00,1,8,0,"29.16585","56.62650","15.4560","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 6.78","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 08:30:00,1,8.5,0,"29.16585","56.62650","20.5275","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 8.74","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 09:00:00,1,9,0,"29.16585","56.62650","19.9920","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 8.53","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 09:30:00,1,9.5,0,"29.16585","56.62650","19.6560","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 8.40","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 10:00:00,1,10,0,"29.16585","56.62650","16.2750","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.10","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 10:30:00,1,10.5,0,"29.16585","56.62650","19.4985","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 8.34","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-02 11:00:00,1,11,0,"29.16585","56.62650","20.0970","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 8.57","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
